"N","P","Parallel","N_Folds","Median_Time","Mean_Time","Iterations","N_P"
1000,5,FALSE,2,0.1838367,0.192061333333333,3,"1000_5"
1000,5,FALSE,10,0.5531411,0.577846933333333,3,"1000_5"
1000,5,TRUE,2,4.7519049,4.85119896666667,3,"1000_5"
1000,5,TRUE,10,9.9400044,10.0588768666667,3,"1000_5"
1000,20,FALSE,2,0.1775385,0.1838416,3,"1000_20"
1000,20,FALSE,10,0.6734183,0.6646698,3,"1000_20"
1000,20,TRUE,2,4.8261008,4.8717219,3,"1000_20"
1000,20,TRUE,10,9.5254813,9.51842006666667,3,"1000_20"
10000,5,FALSE,2,0.6472381,0.5473933,3,"10000_5"
10000,5,FALSE,10,0.8538248,0.8439287,3,"10000_5"
10000,5,TRUE,2,4.9447276,4.90265283333333,3,"10000_5"
10000,5,TRUE,10,10.1679785,10.0037603666667,3,"10000_5"
10000,20,FALSE,2,0.4998098,0.626275733333333,3,"10000_20"
10000,20,FALSE,10,1.4643587,1.36700763333333,3,"10000_20"
10000,20,TRUE,2,5.1114378,5.1022418,3,"10000_20"
10000,20,TRUE,10,9.9504208,9.821871,3,"10000_20"
